"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-22","0.08",",,r",,,"60",",,r","78",",,r","47",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-23","0.00",",,r",,,"46",",,r","58",",,r","35",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-24","0.00","T,,r",,,"43",",,r","57",",,r","35",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-25","0.00",",,r",,,"44",",,r","56",",,r","32",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-26","0.00",",,r",,,"53",",,r","65",",,r","40",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-27","0.00",",,r",,,"62",",,r","72",",,r","42",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-28","0.11",",,r",,,"58",",,r","71",",,r","53",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-29","0.03",",,r",,,"60",",,r","69",",,r","55",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-06-30","0.00",",,r",,,"56",",,r","62",",,r","53",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-01","0.24",",,r",,,"58",",,r","69",",,r","51",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-02","0.34",",,r",,,"60",",,r","67",",,r","55",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-03","0.13",",,r",,,"59",",,r","64",",,r","57",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-04","0.00",",,r",,,"58",",,r","63",",,r","53",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-05","0.09",",,r",,,"48",",,r","58",",,r","44",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-06","0.00","T,,r",,,"52",",,r","61",",,r","44",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-07","0.00","T,,r",,,"53",",,r","66",",,r","43",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-08","0.00","T,,r",,,"54",",,r","64",",,r","45",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-09","0.10",",,r",,,"55",",,r","60",",,r","52",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-10","0.00",",,r",,,"43",",,r","53",",,r","38",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-11","0.01",",,r",,,"45",",,r","52",",,r","41",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-12","0.00","T,,r",,,"45",",,r","52",",,r","39",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-13","0.00",",,r",,,"47",",,r","56",",,r","40",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-14","0.00",",,r",,,"47",",,r","56",",,r","38",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-15","0.00",",,r",,,"49",",,r","59",",,r","36",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-16","0.05",",,r",,,"44",",,r","56",",,r","39",",,r"
"RSM00023412","UST USA, RS","65.97","56.9194","77.0","1980-07-17","0.01",",,r",,,"45",",,r","52",",,r","40",",,r"
